# dll	verbo	confianca	todos-os-verbos	fonte
# Gerado por tools/indice-winetricks.py a partir do winetricks
# instalado. Nao edite a mao: as decisoes ficam em winedeps.sh.
amstream.dll	amstream	baixa	amstream,directshow	ambos
iexplore.exe	ie8	alta	ie6,ie7,ie8	override
inetcpl.cpl.dll	ie6	alta	ie6	override
inseng.dll	ie6	alta	ie6	override
ir50_32.dll	icodecs	alta	icodecs	override
itircl.dll	ie8	baixa	ie6,ie7,ie8,itircl	override
itss.dll	ie8	baixa	ie6,ie7,ie8,itss	override
jscript.dll	ie8	baixa	ie6,ie7,ie8,wsh57	override
l3codeca.acm.dll	wmp9	alta	wmp10,wmp11,wmp9	override
mf.dll	mf	alta	mf	override
mfc100.dll	vcrun2010	alta	vcrun2010	titulo
mfc110.dll	vcrun2012	alta	vcrun2012	titulo
mfc110u.dll	vcrun2012	alta	vcrun2012	titulo
mfc120.dll	vcrun2013	alta	vcrun2013	titulo
mfc120u.dll	vcrun2013	alta	vcrun2013	titulo
mfc140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfc140chs.dll	vcrun2022	alta	vcrun2022	titulo
mfc140cht.dll	vcrun2022	alta	vcrun2022	titulo
mfc140deu.dll	vcrun2022	alta	vcrun2022	titulo
mfc140enu.dll	vcrun2022	alta	vcrun2022	titulo
mfc140esn.dll	vcrun2022	alta	vcrun2022	titulo
mfc140fra.dll	vcrun2022	alta	vcrun2022	titulo
mfc140ita.dll	vcrun2022	alta	vcrun2022	titulo
mfc140jpn.dll	vcrun2022	alta	vcrun2022	titulo
mfc140kor.dll	vcrun2022	alta	vcrun2022	titulo
mfc140rus.dll	vcrun2022	alta	vcrun2022	titulo
mfc140u.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfc42.dll	vcrun6	alta	vcrun6	titulo
mfc71.dll	vcrun2003	alta	vcrun2003	titulo
mfc80.dll	vcrun2005	alta	vcrun2005	titulo
mfc90.dll	vcrun2008	alta	vcrun2008	titulo
mfcm140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfcm140u.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2022	titulo
mfplat.dll	wmp11	alta	wmp11	override
mlang.dll	ie6	alta	ie6	override
msaatext.dll	msaa	alta	msaa	ambos
msacm32.dll	msacm32	alta	msacm32	override
msado15.dll	native_mdac	alta	native_mdac	override
mscoree.dll	dotnet48	alta	dotnet35,dotnet35sp1,dotnet40,dotnet45,dotnet452,dotnet46,dotnet461,dotnet462,dotnet471,dotnet472,dotnet48	override
mscorwks.dll	dotnet35	alta	dotnet11,dotnet11sp1,dotnet20,dotnet20sp1,dotnet20sp2,dotnet30,dotnet30sp1,dotnet35,dotnet35sp1	override
msctf.dll	ie8	baixa	ie8,msctf	override
msdasql.dll	native_mdac	alta	native_mdac	override
msdelta.dll	msdelta	alta	msdelta	override
msftedit.dll	msftedit	alta	msftedit	override
mshtml.dll	ie8	alta	ie6,ie7,ie8	override
msimtf.dll	ie7	alta	ie6,ie7	override
msls31.dll	riched30	alta	riched30	titulo
mspatcha.dll	mspatcha	alta	mspatcha	override
msvcirt.dll	vcrun6	alta	vcrun6	titulo
msvcm80.dll	vcrun2005	alta	vcrun2005	override
msvcm90.dll	vcrun2008	alta	vcrun2008	override
msvcp100.dll	vcrun2010	alta	vcrun2010	ambos
msvcp110.dll	vcrun2012	alta	vcrun2012	ambos
msvcp120.dll	vcrun2013	alta	vcrun2013	ambos
msvcp140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_1.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_2.dll	vcrun2022	alta	vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_atomic_wait.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
msvcp140_codecvt_ids.dll	vcrun2022	alta	vcrun2019,vcrun2022	ambos
msvcp60.dll	vcrun6	alta	vcrun6	titulo
msvcp71.dll	vcrun2003	alta	vcrun2003	titulo
msvcp80.dll	vcrun2005	alta	vcrun2005	ambos
msvcp90.dll	vcrun2008	alta	vcrun2008	ambos
msvcr100.dll	vcrun2010	alta	vcrun2010	ambos
msvcr110.dll	vcrun2012	alta	vcrun2012	ambos
msvcr120.dll	vcrun2013	alta	vcrun2013	ambos
msvcr71.dll	vcrun2003	alta	vcrun2003	titulo
msvcr80.dll	vcrun2005	alta	vcrun2005	ambos
msvcr90.dll	vcrun2008	alta	vcrun2008	ambos
msvcrt40.dll	msvcrt40	alta	msvcrt40	override
msxml3.dll	msxml3	alta	msxml3	override
msxml4.dll	msxml4	alta	msxml4	override
msxml6.dll	msxml6	alta	msxml6	override
mtxdm.dll	native_mdac	alta	native_mdac	override
odbc32.dll	native_mdac	alta	native_mdac	override
odbccp32.dll	native_mdac	alta	native_mdac	override
ole32.dll	ole32	alta	ole32	override
oleacc.dll	msaa	alta	msaa	ambos
oleaccrc.dll	msaa	alta	msaa	ambos
oleaut32.dll	oleaut32	baixa	native_oleaut32,oleaut32	override
oledb32.dll	native_mdac	alta	native_mdac	override
pdh.dll	pdh_nt4	baixa	pdh,pdh_nt4	override
prntvpt.dll	prntvpt	alta	prntvpt	override
qasf.dll	qasf	baixa	directshow,qasf	ambos
qcap.dll	qcap	baixa	directshow,qcap	ambos
qdvd.dll	qdvd	baixa	directshow,qdvd	ambos
qedit.dll	qedit	baixa	directshow,qedit	ambos
quartz.dll	quartz_feb2010	baixa	directshow,quartz,quartz_feb2010	ambos
riched20.dll	riched30	alta	riched20,riched30	ambos
sapi.dll	sapi	baixa	sapi,speechsdk	override
scrrun.dll	wsh57	alta	wsh57	override
secur32.dll	secur32	alta	secur32	override
setupapi.dll	setupapi	alta	setupapi	override
shdoclc.dll	ie8	alta	ie6,ie7,ie8	override
shdocvw.dll	ie8	alta	ie6,ie7,ie8	override
shlwapi.dll	ie8	alta	ie6,ie7,ie8	override
streamci.dll	directmusic	alta	directmusic	override
ucrtbase.dll	ucrtbase2019	baixa	ucrtbase2019,vcrun2015,vcrun2017	override
uiribbon.dll	uiribbon	alta	uiribbon	override
updspapi.dll	updspapi	alta	updspapi	override
urlmon.dll	ie8	baixa	ev3,ie7,ie8,urlmon	override
usp10.dll	usp10	alta	usp10	override
vbscript.dll	wsh57	alta	wsh57	override
vcamp140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
vccorlib140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
vcomp.dll	vcrun2005	alta	vcrun2005	override
vcomp100.dll	vcrun2010	alta	vcrun2010	override
vcomp110.dll	vcrun2012	alta	vcrun2012	ambos
vcomp120.dll	vcrun2013	alta	vcrun2013	ambos
vcomp140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
vcomp90.dll	vcrun2008	alta	vcrun2008	override
vcruntime140.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
vcruntime140_1.dll	vcrun2022	alta	vcrun2015,vcrun2017,vcrun2019,vcrun2022	ambos
wbemprox.dll	wmi	alta	wmi	override
webio.dll	webio	alta	webio	override
windowscodecs.dll	windowscodecs	alta	windowscodecs	override
windowscodecsext.dll	windowscodecs	alta	windowscodecs	override
winhttp.dll	winhttp	alta	winhttp	override
wininet.dll	ie8	baixa	ie7,ie8,wininet,wininet_win2k	override
wmasf.dll	wmp11	alta	wmp11	override
wmiutils.dll	wmi	alta	wmi	override
wmp.dll	wmp9	alta	wmp10,wmp11,wmp9	override
wmplayer.exe	wmp9	alta	wmp10,wmp11,wmp9	override
wmpnssci.dll	wmp11	alta	wmp11	override
wmvcore.dll	wmp9	alta	wmp10,wmp11,wmp9	override
wscript.exe	wsh57	alta	wsh57	override
x3daudio1_0.dll	xact_x64	baixa	xact,xact_x64	override
x3daudio1_1.dll	xact_x64	baixa	xact,xact_x64	override
x3daudio1_2.dll	xact_x64	baixa	xact,xact_x64	override
x3daudio1_3.dll	xact_x64	baixa	xact,xact_x64	override
x3daudio1_4.dll	xact_x64	baixa	xact,xact_x64	override
x3daudio1_5.dll	xact_x64	baixa	xact,xact_x64	override
x3daudio1_6.dll	xact_x64	baixa	xact,xact_x64	override
x3daudio1_7.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_0.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_1.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_10.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_2.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_3.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_4.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_5.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_6.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_7.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_8.dll	xact_x64	baixa	xact,xact_x64	override
xactengine2_9.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_0.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_1.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_2.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_3.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_4.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_5.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_6.dll	xact_x64	baixa	xact,xact_x64	override
xactengine3_7.dll	xact_x64	baixa	xact,xact_x64	override
xapofx1_1.dll	xact_x64	baixa	xact,xact_x64	override
xapofx1_2.dll	xact_x64	baixa	xact,xact_x64	override
xapofx1_3.dll	xact_x64	baixa	xact,xact_x64	override
xapofx1_4.dll	xact_x64	baixa	xact,xact_x64	override
xapofx1_5.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_0.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_1.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_2.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_3.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_4.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_5.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_6.dll	xact_x64	baixa	xact,xact_x64	override
xaudio2_7.dll	xact_x64	baixa	xact,xact_x64	override
xinput1_1.dll	xinput	alta	xinput	override
xinput1_2.dll	xinput	alta	xinput	override
xinput1_3.dll	xinput	alta	xinput	override
xinput9_1_0.dll	xinput	alta	xinput	override
xmllite.dll	ie8	baixa	ie7,ie8,xmllite	override
